root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um,relative_caliber
720575941545863785,ascending_neuron,AN19B063,auto:AN19B065,left,isomorphic,3,0.04337629636668579,0.2350072676285065,0.6289082051570408
720575941545915836,ascending_neuron,ANXXX255,ANXXX255,left,isomorphic,3,0.1878481356102224,0.4890559013688606,1.308773436051985
720575941545989556,ascending_neuron,AN10B034,auto:AN10B039,right,isomorphic,3,0.02462818809850754,0.1770807245360028,0.4738896875814614
720575941545991429,descending_neuron,DNp07,DNp07,right,isomorphic,3,0.5966958747568034,0.8716288108597042,1.849280371707757
720575941546194364,descending_neuron,DNge145,auto:DNge113,right,isomorphic,3,0.1867875662550368,0.4876733700139389,1.034666109856838
720575941546216628,ascending_neuron,AN08B099,auto:AN08B099_d,right,dimorphic,3,0.04276627628832787,0.2333489107567652,0.6244702392411724
720575941546363169,sensory_ascending,SApp13,SApp13,right,isomorphic,3,0.05673803235615048,0.2687770572171553,0.7576323824350345
720575941546424425,ascending_neuron,AN08B071,auto:AN08B079_b,right,isomorphic,3,0.0575024767315991,0.2705816462639059,0.724109595492478
720575941546427836,ascending_neuron,AN07B043,AN07B043,left,isomorphic,3,0.0710578020228327,0.3007883034584836,0.8049463064237595
720575941546494313,sensory_ascending,SApp12,auto:SApp09,right,dimorphic,3,0.04479860683847347,0.2388291392937376,0.6732147887601544
720575941546593468,ascending_neuron,AN17A008,AN17A008,right,isomorphic,3,0.8785451461997625,1.05763813375685,2.830369065258554
720575941546602345,descending_neuron,DNpe031,DNpe031,left,isomorphic,3,0.3413861355940315,0.6592922931922086,1.398779253081379
720575941546634428,descending_neuron,DNp23,DNp23,left,isomorphic,3,0.1024058466538521,0.3610916415146846,0.7661055677843143
720575941546829601,ascending_neuron,AN07B052,AN07B052,left,isomorphic,3,0.1696887415759467,0.4648165402294125,1.243905939560509
720575941546970292,descending_neuron,DNp16,auto:DNpe009,right,dimorphic,3,0.07505668417356517,0.3091361162764406,0.6558747770764144
720575941547044980,ascending_neuron,AN07B052,AN07B052,right,isomorphic,3,0.1245556906613715,0.3982326341120959,1.065719259160557
720575941547048052,ascending_neuron,AN07B071,auto:AN07B082_a,right,isomorphic,12,0.05978040423430726,0.2758890622539671,0.7383128901310405
720575941547175092,ascending_neuron,AN19B051,AN19B051,right,isomorphic,3,0.02630188169752928,0.1829988958388555,0.4897274381729566
720575941547229620,ascending_neuron,ANXXX170,ANXXX170,right,isomorphic,3,0.1365682865939627,0.4169941762760702,1.115927441772915
