root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um
720575941659595320,descending_neuron,DNg10,auto:DNge071,right,isomorphic,3,0.03385290227272663,0.20761226812905448
720575941659653712,ascending_neuron,AN07B049,AN07B049,left,isomorphic,3,0.09115792121212,0.34068441423570217
720575941659661624,ascending_neuron,AN07B052,AN07B052,right,isomorphic,3,0.08519928129275481,0.3293616464085492
720575941660289104,ascending_neuron,AN05B099,AN05B099,right,dimorphic,3,0.248090358700041,0.5620306534028402
720575941660533840,descending_neuron,DNa16,DNa16,left,isomorphic,3,1.4980038630380603,1.3810567535717333
720575941660948348,descending_neuron,DNg40,DNg40,right,isomorphic,3,0.28097562955357197,0.5981214614561708
720575941661233976,descending_neuron,DNpe011,auto:DNpe012_b,right,dimorphic,3,0.06369414931318645,0.2847769472303104
720575941661275704,ascending_neuron,AN10B047,auto:AN10B037,right,dimorphic,3,0.03393894906270125,0.2078759535236907
720575941661385784,sensory_ascending,SApp04,auto:SApp10,right,isomorphic,3,0.10562952447691681,0.36673108356884787
720575941661415224,descending_neuron,DNg02_h,auto:DNg02_a,left,isomorphic,3,0.08669098520923688,0.3322324345100151
720575941661428280,ascending_neuron,AN02A046,AN02A046,left,isomorphic,3,0.17337566040563884,0.469839064918014
720575941662302844,ascending_neuron,ANXXX108,ANXXX108,left,isomorphic,3,0.3063878629329536,0.6245839760297516
720575941662395704,descending_neuron,DNd02,DNd02,left,isomorphic,12,0.2677595820632572,0.5206961314829709
720575941662397752,ascending_neuron,AN05B026,auto:AN05B106,left,isomorphic,3,0.19992224327495586,0.504528399606838
720575941662407992,descending_neuron,DNg29,DNg29,left,isomorphic,3,1.1276050894624812,1.1982117470415077
720575941662445180,ascending_neuron,AN10B047,AN10B047,left,isomorphic,3,0.017747949999999867,0.15032428871603637
720575941662495356,descending_neuron,DNg07,DNg07,right,isomorphic,3,0.026370874356674363,0.18323875152423474
720575941662498940,ascending_neuron,AN06B068,AN06B068,right,isomorphic,3,0.0794164469300987,0.3179876738708013
720575941662506040,descending_neuron,DNg27,DNg27,right,isomorphic,3,0.5755121595590555,0.8560168456441276
720575941662508600,ascending_neuron,AN18B053,AN18B053,left,dimorphic,3,0.10978272731990073,0.3738712475606742
720575941662536316,sensory_ascending,SApp05,auto:SApp09,,isomorphic,3,0.22576578756389593,0.5361473011912214
720575941662695992,descending_neuron,DNg65,DNg65,left,isomorphic,12,0.07609405565420116,0.3102387823543735
720575941662983224,descending_neuron,DNpe054,auto:DNpe015,left,isomorphic,3,0.09721269841755348,0.35181678737041877
720575941663102520,descending_neuron,DNg34,DNg34,right,isomorphic,3,0.6521558695964398,0.9112357776675228
720575941663129656,sensory_ascending,SApp09,SApp09,right,isomorphic,3,0.10985640261382786,0.37399667919685187
720575941663471740,ascending_neuron,AN03B095,AN03B095,right,isomorphic,3,0.09122846801629914,0.34081621599325207
720575941663484028,ascending_neuron,AN01B005,AN01B005,right,isomorphic,3,0.1517586518279374,0.43957378989542256
720575941663497084,descending_neuron,DNa11,DNa11,left,isomorphic,3,0.2066329890803708,0.512926206138814
720575941663518844,descending_neuron,DNge033,DNge033,left,isomorphic,3,0.20530978168367317,0.5112812659980763
720575941663701884,descending_neuron,DNg61,DNg61,left,isomorphic,3,0.22822684625594342,0.5390616345310241
720575941665097203,descending_neuron,DNge134,DNge134,right,isomorphic,3,0.07296481405895937,0.304797779903521
720575941665230067,ascending_neuron,AN08B097,AN08B097,right,dimorphic,3,0.07329022947530882,0.30547670682177686
720575941666660595,descending_neuron,DNpe014,DNpe014,right,isomorphic,3,0.21831070310362838,0.5272208457852147
