type,n,d_med,area,sumd,pop
AN08B005,2,0.344817163314709,0.18689969104367496,0.689634326629418,1-2
AN08B007,2,1.6053333769734488,4.138748790836487,3.2106667539468976,1-2
AN08B009,4,0.7782896838235124,1.856777649282763,3.008379216005226,3-4
AN08B010,4,1.104393096897779,4.216886769541899,4.450913074090506,3-4
AN08B012,4,0.9567476276917641,2.877647700677641,3.735152538179909,3-4
AN08B013,2,0.7418131803475727,0.9092698877200017,1.4836263606951454,1-2
AN08B014,2,0.9212171840411485,1.3333254639660408,1.842434368082297,1-2
AN08B015,2,0.4186116476320477,0.2752612458576449,0.8372232952640954,1-2
AN08B016,2,0.5143479158748592,0.41664,1.0286958317497183,1-2
AN08B018,14,1.073010219044942,14.142692051213597,15.68427793083136,>8
AN08B020,2,1.1756662192622005,2.171846281881214,2.351332438524401,1-2
AN08B022,6,0.5266643426954807,1.5331081095825374,3.3607880620089428,5-8
AN08B023,6,0.48823222587992987,1.009066938928985,2.687156096952671,5-8
AN08B024,6,0.7900982221647515,2.9598531560868127,4.72870798842369,5-8
AN08B025,2,0.647908952115835,0.6602401359737028,1.29581790423167,1-2
AN08B026,6,0.7518465118065882,2.68729671155378,4.453863589443563,5-8
AN08B027,2,0.7851777076443365,0.981435710349927,1.570355415288673,1-2
AN08B028,4,0.49872361707440926,0.9380608667969599,2.142905065624503,3-4
AN08B031,6,0.4208429209808122,1.3977059340613072,2.997458277221015,5-8
AN08B032,2,0.8135355762650383,1.0486844467566514,1.6270711525300765,1-2
AN08B034,6,0.6989713126269957,2.5846896164996234,4.317988066062235,5-8
AN08B035,1,0.2933509551663055,0.06758726843885719,0.2933509551663055,1-2
AN08B041,2,0.6990592467443177,0.7759338169818055,1.3981184934886355,1-2
AN08B043,2,0.29229740072328425,0.13791323171513264,0.5845948014465685,1-2
AN08B047,4,0.3795329301123105,0.5696826973570823,1.6668794535668034,3-4
AN08B048,2,0.7075027631764926,0.7864028296348301,1.4150055263529853,1-2
AN08B049,4,0.6765034745644609,1.429690888279485,2.6962526447539377,3-4
AN08B050,2,1.0595787990874648,1.7841773086071582,2.1191575981749295,1-2
AN08B053,2,0.5010611765097593,0.3943838918374719,1.0021223530195187,1-2
AN08B057,2,0.5518589171248065,0.4840102339256956,1.103717834249613,1-2
AN08B059,5,0.46489746320576936,0.9686473616016039,2.4659948276391037,5-8
