type,n,d_med,area,sumd,pop
DNg13,2,1.3706871137333798,2.962207647152282,2.7413742274667596,1-2
DNg14,2,0.9291820075017208,1.4183573688798325,1.8583640150034415,1-2
DNg15,2,3.820613568075014,22.930688,7.641227136150028,1-2
DNg16,2,2.263259090758231,8.046208,4.526518181516462,1-2
DNg17,2,0.9224548219729036,1.3491798727354838,1.8449096439458073,1-2
DNg18_a,3,0.3235017833985261,0.3162541910771036,1.082034897580189,3-4
DNg18_b,6,0.3674515522865619,0.7486462974754217,2.3403307555005317,5-8
DNg19,2,0.8939920303275717,1.2827950377920396,1.7879840606551434,1-2
DNg20,2,0.5589562436575022,0.4945922753494387,1.1179124873150044,1-2
DNg21,2,0.788385330665402,0.979058615049955,1.576770661330804,1-2
DNg22,2,0.86483886533601,1.1773113914285103,1.72967773067202,1-2
DNg23,2,0.6162765837469886,0.598126602002587,1.2325531674939771,1-2
DNg24,2,1.0707824325760094,1.825604205328903,2.1415648651520187,1-2
DNg26,4,0.6936685048822238,1.5239876834394421,2.7739555521282133,3-4
DNg27,2,0.7731383889781648,0.9671281678392316,1.5462767779563296,1-2
DNg29,2,1.888471619221155,5.6201929083222275,3.77694323844231,1-2
DNg30,2,0.8884532842851738,1.245567274897029,1.7769065685703476,1-2
DNg31,2,1.4269886503025784,3.2008480713375587,2.8539773006051568,1-2
DNg32,2,0.8513691178285618,1.1410665471474664,1.7027382356571237,1-2
DNg33,2,0.7665134886284056,0.9326041928272524,1.5330269772568113,1-2
DNg34,2,1.2793194689598866,2.570857638626684,2.558638937919773,1-2
DNg35,2,2.116219507835667,7.041133804383694,4.232439015671334,1-2
DNg36_a,4,0.38412556073679816,0.5581421755287029,1.6497452164914184,3-4
DNg36_b,7,0.29350284511421304,0.6315638953296515,2.3009578378769078,5-8
DNg37,2,2.5320041637533475,10.078848,5.064008327506695,1-2
DNg38,2,0.9346603031670728,1.4294100523334614,1.8693206063341457,1-2
DNg39,2,1.084485691735916,1.9235298578480453,2.168971383471832,1-2
DNg40,2,0.863775858281101,1.2118699410051443,1.727551716562202,1-2
DNg41,2,0.6648588010356922,0.6963334015383323,1.3297176020713843,1-2
DNg42,2,0.6978524973085108,0.7778054455149452,1.3957049946170217,1-2
DNg43,2,1.0631947149861265,1.776203972426801,2.126389429972253,1-2
DNg44,2,0.9529894312364178,1.4736228611236226,1.9059788624728355,1-2
DNg45,2,0.689179877451636,0.7464459558412364,1.378359754903272,1-2
DNg46,2,0.4181003855282497,0.2749326989036792,0.8362007710564994,1-2
DNg47,2,0.4791651997111105,0.36133236954417436,0.958330399422221,1-2
DNg48,2,1.2850706705818702,2.5993676676982753,2.5701413411637404,1-2
DNg49,2,1.367128782244726,2.9469121585183715,2.734257564489452,1-2
DNg50,2,0.8836988447127248,1.2437725788937428,1.7673976894254495,1-2
DNg51,4,0.5268334272919128,0.868876024485385,2.101560185213328,3-4
DNg52,4,0.657551037919549,1.6870668398498436,2.830462430332463,3-4
DNg53,2,0.30021348788190616,0.14171630039417243,0.6004269757638123,1-2
DNg54,2,0.7084198136560715,0.788504924172885,1.416839627312143,1-2
DNg55,1,0.9793514699052288,0.7532983919416623,0.9793514699052288,1-2
DNg56,2,0.9576472789117916,1.4508577325211824,1.9152945578235832,1-2
DNg57,2,0.5110454248086032,0.41064889297514295,1.0220908496172063,1-2
DNg58,2,0.4235350550480922,0.2818764464117217,0.8470701100961844,1-2
DNg59,2,0.5715328587197303,0.5193539811093916,1.1430657174394605,1-2
DNg60,2,0.5247201127001395,0.4334851518832703,1.049440225400279,1-2
DNg61,2,0.5596890220505205,0.4968508245696014,1.119378044101041,1-2
DNg62,2,0.502901592927369,0.3979282483111788,1.005803185854738,1-2
DNg63,2,0.6258041505316283,0.6151725724804353,1.2516083010632566,1-2
DNg64,2,0.2533333788676478,0.100869546400976,0.5066667577352956,1-2
DNg65,2,0.4454897099807176,0.31174386327749704,0.8909794199614351,1-2
DNg66,1,0.16301217153699485,0.02087036031757393,0.16301217153699485,1-2
DNg67,2,0.2926442857023266,0.1348554920477251,0.5852885714046532,1-2
DNg68,2,0.7955712903802408,0.9963041477225314,1.5911425807604815,1-2
DNg69,2,0.7167786581617073,0.8163912566932244,1.4335573163234145,1-2
DNg70,2,0.8993240084239831,1.2786261631797369,1.7986480168479662,1-2
DNg71,2,0.9195090824454683,1.3722194292494825,1.8390181648909365,1-2
DNg72,4,0.5175716368816272,0.9590161066982279,2.17211682012129,3-4
DNg73,2,0.7447233828640233,0.88389513011303,1.4894467657280466,1-2
DNg74_a,2,2.229107551889423,7.807753194702137,4.458215103778846,1-2
DNg74_b,2,1.78858390963879,5.026230798440796,3.57716781927758,1-2
DNg75,2,1.5563405853722156,3.804857753859862,3.1126811707444313,1-2
DNg76,2,0.9234128481043545,1.4042256852018422,1.846825696208709,1-2
DNg77,1,0.22922369747624222,0.04126757113533495,0.22922369747624222,1-2
DNg78,2,0.9176272235803498,1.3792258030491964,1.8352544471606995,1-2
DNg79,4,0.8405845293331282,2.2218879960174416,3.3626608644904286,3-4
DNg80,2,0.8398747551257266,1.1140256609333805,1.6797495102514532,1-2
DNg81,2,0.8291785480325717,1.1031806990128021,1.6583570960651435,1-2
DNg82,4,0.7228466927840976,1.786211891685468,2.990903083511173,3-4
DNg83,2,0.2857350961756969,0.1318404140785888,0.5714701923513938,1-2
DNg84,2,0.704411052749541,0.7801626647594893,1.408822105499082,1-2
DNg85,2,0.7175253294246552,0.8114154290869386,1.4350506588493104,1-2
DNg86,1,0.3269562727005222,0.08395938117084935,0.3269562727005222,1-2
DNg87,2,0.8727237334328384,1.1972181302983875,1.7454474668656768,1-2
DNg88,2,1.2383416292495086,2.4119068371332153,2.4766832584990173,1-2
DNg89,2,0.5347770817878663,0.4521056460100905,1.0695541635757326,1-2
DNg90,2,1.1593483629754298,2.1257185552272753,2.3186967259508595,1-2
DNg91,2,0.9472678994105992,1.4100731336513368,1.8945357988211984,1-2
DNg92_a,2,0.3445324709532565,0.186459891571139,0.689064941906513,1-2
DNg92_b,4,0.3335726978728901,0.34295141936183965,1.3140210282472817,3-4
DNg93,2,1.435608110853427,3.2376485252211555,2.871216221706854,1-2
DNg94,1,0.4704362703543822,0.1738166909597318,0.4704362703543822,1-2
DNg95,2,0.7840338740088496,0.994971483304597,1.5680677480176992,1-2
DNg96,2,1.3608556983037803,2.9101920464320674,2.7217113966075606,1-2
DNg97,2,1.9210417113776015,5.797821958302135,3.842083422755203,1-2
DNg98,2,1.2248253548577206,2.3589506115322427,2.449650709715441,1-2
DNg99,2,2.2306702334684423,7.816448000000001,4.461340466936885,1-2
DNge001,3,0.41722301562948394,0.42701490073791437,1.2674606384305487,3-4
DNge002,2,0.9358471623024551,1.4033097427638572,1.8716943246049103,1-2
DNge003,2,1.2258231013687029,2.365346577349117,2.4516462027374057,1-2
DNge004,2,0.478662107471182,0.3624944081843167,0.957324214942364,1-2
DNge006,2,1.0393781055991305,1.7213775544288261,2.078756211198261,1-2
DNge007,2,0.9929178179654108,1.549545943534181,1.9858356359308216,1-2
DNge008,2,0.5552774492198806,0.4843642314959812,1.1105548984397613,1-2
DNge009,7,0.3099357499103089,0.5411381482289465,2.169799650473797,5-8
DNge010,2,0.8852687947746907,1.2317192360027287,1.7705375895493813,1-2
DNge011,2,0.6932878684638808,0.7888534423622904,1.3865757369277616,1-2
DNge012,2,0.9958366519064179,1.591939169740237,1.9916733038128358,1-2
DNge013,2,0.7485491289648768,0.8893006400977246,1.4970982579297536,1-2
DNge014,2,0.6647795091016022,0.6943968172580324,1.3295590182032044,1-2
DNge015,3,0.7641061008877316,1.2681649281475345,2.12547970420116,3-4
DNge016,2,1.112329043331558,1.9458157089607928,2.224658086663116,1-2
